time,account_name,cash,equity,open_positions
2024-12-04 16:45:00+00:00,account_1_no_decay,55630.875762344986,55630.875762344986,0
2024-12-04 16:50:00+00:00,account_1_no_decay,55630.875762344986,55656.970442462945,1
2024-12-04 16:55:00+00:00,account_1_no_decay,55630.875762344986,55650.94859320496,1
2024-12-04 17:00:00+00:00,account_1_no_decay,55630.875762344986,55677.330028049495,1
2024-12-04 17:05:00+00:00,account_1_no_decay,55630.875762344986,55579.35798652189,2
2024-12-04 17:10:00+00:00,account_1_no_decay,55630.875762344986,55568.47220412993,2
2024-12-04 17:15:00+00:00,account_1_no_decay,55630.875762344986,55723.16490127878,2
2024-12-04 17:20:00+00:00,account_1_no_decay,55630.875762344986,55728.89426043244,3
2024-12-04 17:25:00+00:00,account_1_no_decay,55630.875762344986,55694.542281939976,3
2024-12-04 17:30:00+00:00,account_1_no_decay,55630.875762344986,55694.542281939976,3
2024-12-04 17:35:00+00:00,account_1_no_decay,55630.875762344986,55771.816405252976,4
2024-12-04 17:40:00+00:00,account_1_no_decay,55630.875762344986,55645.89183598818,4
2024-12-04 17:45:00+00:00,account_1_no_decay,55630.875762344986,55668.78721221814,4
2024-12-04 17:50:00+00:00,account_1_no_decay,55630.875762344986,55668.78959897358,5
2024-12-04 17:55:00+00:00,account_1_no_decay,55630.875762344986,55724.59940562065,5
2024-12-04 18:00:00+00:00,account_1_no_decay,55630.875762344986,55654.47939214099,5
2024-12-04 18:05:00+00:00,account_1_no_decay,55630.875762344986,55640.89789229916,6
2024-12-04 18:10:00+00:00,account_1_no_decay,55561.33716764206,55413.949958825935,5
2024-12-04 18:15:00+00:00,account_1_no_decay,55491.79857293913,55327.74908412553,4
2024-12-04 18:20:00+00:00,account_1_no_decay,55422.2599782362,55328.37735756446,4
2024-12-04 18:25:00+00:00,account_1_no_decay,55352.72138353327,55255.94519998347,3
2024-12-04 18:30:00+00:00,account_1_no_decay,55283.182788830345,55303.80158612953,2
2024-12-04 18:35:00+00:00,account_1_no_decay,55283.182788830345,55255.18808473865,3
2024-12-04 18:40:00+00:00,account_1_no_decay,55283.182788830345,55255.18808473865,3
2024-12-04 18:45:00+00:00,account_1_no_decay,55283.182788830345,55366.689845532295,3
2024-12-04 18:50:00+00:00,account_1_no_decay,55306.69667640917,55290.81030438004,3
2024-12-04 18:55:00+00:00,account_1_no_decay,55306.69667640917,55287.18188036803,3
2024-12-04 19:00:00+00:00,account_1_no_decay,55306.69667640917,55250.54038411807,3
2024-12-04 19:05:00+00:00,account_1_no_decay,55237.59269792313,55334.6214825113,3
2024-12-04 19:10:00+00:00,account_1_no_decay,55237.59269792313,55361.193126561644,3
2024-12-04 19:15:00+00:00,account_1_no_decay,55237.59269792313,55379.43128446893,3
2024-12-04 19:20:00+00:00,account_1_no_decay,55375.859439614156,55347.372637140215,3
2024-12-04 19:25:00+00:00,account_1_no_decay,55375.859439614156,55313.149998526205,3
2024-12-04 19:30:00+00:00,account_1_no_decay,55375.859439614156,55304.59433887272,3
2024-12-04 19:35:00+00:00,account_1_no_decay,55375.859439614156,55301.73788710901,4
2024-12-04 19:40:00+00:00,account_1_no_decay,55375.859439614156,55221.853107188566,4
2024-12-04 19:45:00+00:00,account_1_no_decay,55375.859439614156,55233.265218605775,4
2024-12-04 19:50:00+00:00,account_1_no_decay,55375.859439614156,55318.891462877735,5
2024-12-04 19:55:00+00:00,account_1_no_decay,55375.859439614156,55361.704585013715,5
